ID,book,bk,ch,vs,field
GEN/5:1,GEN,1,5,1,"This  an account of the births of Adam: In the day of God's preparing man, in the likeness of God He hath made him;"
GEN/5:2,GEN,1,5,2,"a male and a female He hath prepared them, and He blesseth them, and calleth their name Man, in the day of their being prepared."
GEN/5:3,GEN,1,5,3,"And Adam liveth an hundred and thirty years, and begetteth `a son' in his likeness, according to his image, and calleth his name Seth."
GEN/5:4,GEN,1,5,4,"And the days of Adam after his begetting Seth are eight hundred years, and he begetteth sons and daughters."
GEN/5:5,GEN,1,5,5,"And all the days of Adam which he lived are nine hundred and thirty years, and he dieth."
GEN/5:6,GEN,1,5,6,"And Seth liveth an hundred and five years, and begetteth Enos."
GEN/5:7,GEN,1,5,7,"And Seth liveth after his begetting Enos eight hundred and seven years, and begetteth sons and daughters."
GEN/5:8,GEN,1,5,8,"And all the days of Seth are nine hundred and twelve years, and he dieth."
GEN/5:9,GEN,1,5,9,"And Enos liveth ninety years, and begetteth Cainan."
GEN/5:10,GEN,1,5,10,"And Enos liveth after his begetting Cainan eight hundred and fifteen years, and begetteth sons and daughters."
GEN/5:11,GEN,1,5,11,"And all the days of Enos are nine hundred and five years, and he dieth."
GEN/5:12,GEN,1,5,12,"And Cainan liveth seventy years, and begetteth Mahalaleel."
GEN/5:13,GEN,1,5,13,"And Cainan liveth after his begetting Mahalaleel eight hundred and forty years, and begetteth sons and daughters."
GEN/5:14,GEN,1,5,14,"And all the days of Cainan are nine hundred and ten years, and he dieth."
GEN/5:15,GEN,1,5,15,"And Mahalaleel liveth five and sixty years, and begetteth Jared."
GEN/5:16,GEN,1,5,16,"And Mahalaleel liveth after his begetting Jared eight hundred and thirty years, and begetteth sons and daughters."
GEN/5:17,GEN,1,5,17,"And all the days of Mahalaleel are eight hundred and ninety and five years, and he dieth."
GEN/5:18,GEN,1,5,18,"And Jared liveth an hundred and sixty and two years, and begetteth Enoch."
GEN/5:19,GEN,1,5,19,"And Jared liveth after his begetting Enoch eight hundred years, and begetteth sons and daughters."
GEN/5:20,GEN,1,5,20,"And all the days of Jared are nine hundred and sixty and two years, and he dieth."
GEN/5:21,GEN,1,5,21,"And Enoch liveth five and sixty years, and begetteth Methuselah."
GEN/5:22,GEN,1,5,22,"And Enoch walketh habitually with God after his begetting Methuselah three hundred years, and begetteth sons and daughters."
GEN/5:23,GEN,1,5,23,And all the days of Enoch are three hundred and sixty and five years.
GEN/5:24,GEN,1,5,24,"And Enoch walketh habitually with God, and he is not, for God hath taken him."
GEN/5:25,GEN,1,5,25,"And Methuselah liveth an hundred and eighty and seven years, and begetteth Lamech."
GEN/5:26,GEN,1,5,26,"And Methuselah liveth after his begetting Lamech seven hundred and eighty and two years, and begetteth sons and daughters."
GEN/5:27,GEN,1,5,27,"And all the days of Methuselah are nine hundred and sixty and nine years, and he dieth."
GEN/5:28,GEN,1,5,28,"And Lamech liveth an hundred and eighty and two years, and begetteth a son,"
GEN/5:29,GEN,1,5,29,"and calleth his name Noah, saying, `This `one' doth comfort us concerning our work, and concerning the labour of our hands, because of the ground which Yahweh hath cursed.'"
GEN/5:30,GEN,1,5,30,"And Lamech liveth after his begetting Noah five hundred and ninety and five years, and begetteth sons and daughters."
GEN/5:31,GEN,1,5,31,"And all the days of Lamech are seven hundred and seventy and seven years, and he dieth."
GEN/5:32,GEN,1,5,32,"And Noah is a son of five hundred years, and Noah begetteth Shem, Ham, and Japheth."
GEN/6:1,GEN,1,6,1,"And it cometh to pass that mankind have begun to multiply on the face of the ground, and daughters have been born to them,"
GEN/6:2,GEN,1,6,2,"and sons of God see the daughters of men that they `are' fair, and they take to themselves women of all whom they have chosen."
GEN/6:3,GEN,1,6,3,"And Yahweh saith, `My Spirit doth not strive in man -- to the age; in their erring they `are' flesh:' and his days have been an hundred and twenty years."
GEN/6:4,GEN,1,6,4,"The fallen ones were in the earth in those days, and even afterwards when sons of God come in unto daughters of men, and they have borne to them -- they `are' the heroes, who, from of old, `are' the men of name."
GEN/6:5,GEN,1,6,5,"And Yahweh seeth that abundant  the wickedness of man in the earth, and every imagination of the thoughts of his heart only evil all the day;"
GEN/6:6,GEN,1,6,6,"and Yahweh repenteth that He hath made man in the earth, and He grieveth Himself -- unto His heart."
GEN/6:7,GEN,1,6,7,"And Yahweh saith, `I wipe away man whom I have prepared from off the face of the ground, from man unto beast, unto creeping thing, and unto fowl of the heavens, for I have repented that I have made them.'"
GEN/6:8,GEN,1,6,8,And Noah found grace in the eyes of Yahweh.
GEN/6:9,GEN,1,6,9,These `are' births of Noah: Noah  a righteous man; perfect he hath been among his generations; with God hath Noah walked habitually.
GEN/6:10,GEN,1,6,10,"And Noah begetteth three sons, Shem, Ham, and Japheth."
GEN/6:11,GEN,1,6,11,"And the earth is corrupt before God, and the earth is filled `with' violence."
GEN/6:12,GEN,1,6,12,"And God seeth the earth, and lo, it hath been corrupted, for all flesh hath corrupted its way on the earth."
GEN/6:13,GEN,1,6,13,"And God said to Noah, `An end of all flesh hath come before Me, for the earth hath been full of violence from their presence; and lo, I am destroying them with the earth."
GEN/6:14,GEN,1,6,14,"`Make for thyself an ark of gopher-wood; rooms dost thou make with the ark, and thou hast covered it within and without with cypress;"
GEN/6:15,GEN,1,6,15,"and this  that which thou dost with it: three hundred cubits  the length of the ark, fifty cubits its breadth, and thirty cubits its height;"
GEN/6:16,GEN,1,6,16,"a window dost thou make for the ark, and unto a cubit thou dost restrain it from above; and the opening of the ark thou dost put in its side, -- lower, second, and third `stories' dost thou make it."
GEN/6:17,GEN,1,6,17,"`And I, lo, I am bringing in the deluge of waters on the earth to destroy all flesh, in which  a living spirit, from under the heavens; all that  in the earth doth expire."
GEN/6:18,GEN,1,6,18,"`And I have established My covenant with thee, and thou hast come in unto the ark, thou, and thy sons, and thy wife, and thy son's wives with thee;"
GEN/6:19,GEN,1,6,19,"and of all that liveth, of all flesh, two of every `sort' thou dost bring in unto the ark, to keep alive with thee; male and female are they."
GEN/6:20,GEN,1,6,20,"Of the fowl after its kind, and of the cattle after their kind, of every creeping thing of the ground after its kind, two of every `sort' they come in unto thee, to keep alive."
GEN/6:21,GEN,1,6,21,"`And thou, take to thyself of all food that is eaten; and thou hast gathered unto thyself, and it hath been to thee and to them for food.'"
GEN/6:22,GEN,1,6,22,And Noah doth according to all that God hath commanded him; so hath he done.
GEN/7:1,GEN,1,7,1,"And Yahweh saith to Noah, `Come in, thou and all thy house, unto the ark, for thee I have seen righteous before Me in this generation;"
GEN/7:2,GEN,1,7,2,"of all the clean beasts thou dost take to thee seven pairs, a male and its female; and of the beasts which are not clean two, a male and its female;"
GEN/7:3,GEN,1,7,3,"also, of fowl of the heavens seven pairs, a male and a female, to keep alive seed on the face of all the earth;"
GEN/7:4,GEN,1,7,4,"for after other seven days I am sending rain on the earth forty days and forty nights, and have wiped away all the substance that I have made from off the face of the ground.'"
GEN/7:5,GEN,1,7,5,And Noah doth according to all that Yahweh hath commanded him:
GEN/7:6,GEN,1,7,6,"and Noah  a son of six hundred years, and the deluge of waters hath been upon the earth."
GEN/7:7,GEN,1,7,7,"And Noah goeth in, and his sons, and his wife, and his sons' wives with him, unto the ark, from the presence of the waters of the deluge;"
GEN/7:8,GEN,1,7,8,"of the clean beasts and of the beasts that `are' not clean, and of the fowl, and of every thing that is creeping upon the ground,"
GEN/7:9,GEN,1,7,9,"two by two they have come in unto Noah, unto the ark, a male and a female, as God hath commanded Noah."
GEN/7:10,GEN,1,7,10,"And it cometh to pass, after the seventh of the days, that waters of the deluge have been on the earth."
GEN/7:11,GEN,1,7,11,"In the six hundredth year of the life of Noah, in the second month, in the seventeenth day of the month, in this day have been broken up all fountains of the great deep, and the net-work of the heavens hath been opened,"
GEN/7:12,GEN,1,7,12,and the shower is on the earth forty days and forty nights.
GEN/7:13,GEN,1,7,13,"In this self-same day went in Noah, and Shem, and Ham, and Japheth, sons of Noah, and Noah's wife and the three wives of his sons with them, unto the ark;"
GEN/7:14,GEN,1,7,14,"they, and every living creature after its kind, and every beast after its kind, and every creeping thing that is creeping on the earth after its kind, and every fowl after its kind, every bird -- every wing."
GEN/7:15,GEN,1,7,15,"And they come in unto Noah, unto the ark, two by two of all the flesh in which  a living spirit;"
GEN/7:16,GEN,1,7,16,"and they that are coming in, male and female of all flesh, have come in as God hath commanded him, and Yahweh doth close `it' for him."
GEN/7:17,GEN,1,7,17,"And the deluge is forty days on the earth, and the waters multiply, and lift up the ark, and it is raised up from off the earth;"
GEN/7:18,GEN,1,7,18,"and the waters are mighty, and multiply exceedingly upon the earth; and the ark goeth on the face of the waters."
GEN/7:19,GEN,1,7,19,"And the waters have been very very mighty on the earth, and covered are all the high mountains which `are' under the whole heavens;"
GEN/7:20,GEN,1,7,20,"fifteen cubits upwards have the waters become mighty, and the mountains are covered;"
GEN/7:21,GEN,1,7,21,"and expire doth all flesh that is moving on the earth, among fowl, and among cattle, and among beasts, and among all the teeming things which are teeming on the earth, and all mankind;"
GEN/7:22,GEN,1,7,22,all in whose nostrils  breath of a living spirit -- of all that  in the dry land -- have died.
GEN/7:23,GEN,1,7,23,"And wiped away is all the substance that is on the face of the ground, from man unto beast, unto creeping thing, and unto fowl of the heavens; yea, they are wiped away from the earth, and only Noah is left, and those who `are' with him in the ark;"
GEN/7:24,GEN,1,7,24,and the waters are mighty on the earth a hundred and fifty days.
GEN/8:1,GEN,1,8,1,"And God remembereth Noah, and every living thing, and all the cattle which `are' with him in the ark, and God causeth a wind to pass over the earth, and the waters subside,"
GEN/8:2,GEN,1,8,2,"and closed are the fountains of the deep and the net-work of the heavens, and restrained is the shower from the heavens."
GEN/8:3,GEN,1,8,3,"And turn back do the waters from off the earth, going on and returning; and the waters are lacking at the end of a hundred and fifty days."
GEN/8:4,GEN,1,8,4,"And the ark resteth, in the seventh month, in the seventeenth day of the month, on mountains of Ararat;"
GEN/8:5,GEN,1,8,5,"and the waters have been going and becoming lacking till the tenth month; in the tenth `month', on the first of the month, appeared the heads of the mountains."
GEN/8:6,GEN,1,8,6,"And it cometh to pass, at the end of forty days, that Noah openeth the window of the ark which he made,"
GEN/8:7,GEN,1,8,7,"and he sendeth forth the raven, and it goeth out, going out and turning back till the drying of the waters from off the earth."
GEN/8:8,GEN,1,8,8,"And he sendeth forth the dove from him to see whether the waters have been lightened from off the face of the ground,"
GEN/8:9,GEN,1,8,9,"and the dove hath not found rest for the sole of her foot, and she turneth back unto him, unto the ark, for waters `are' on the face of all the earth, and he putteth out his hand, and taketh her, and bringeth her in unto him, unto the ark."
GEN/8:10,GEN,1,8,10,"And he stayeth yet other seven days, and addeth to send forth the dove from the ark;"
GEN/8:11,GEN,1,8,11,"and the dove cometh in unto him at even-time, and lo, an olive leaf torn off in her mouth; and Noah knoweth that the waters have been lightened from off the earth."
GEN/8:12,GEN,1,8,12,"And he stayeth yet other seven days, and sendeth forth the dove, and it added not to turn back unto him any more."
GEN/8:13,GEN,1,8,13,"And it cometh to pass in the six hundredth and first year, in the first `month', in the first of the month, the waters have been dried from off the earth; and Noah turneth aside the covering of the ark, and looketh, and lo, the face of the ground hath been dried."
GEN/8:14,GEN,1,8,14,"And in the second month, in the seven and twentieth day of the month, the earth hath become dry."
GEN/8:15,GEN,1,8,15,"And God speaketh unto Noah, saying, `Go out from the ark, thou, and thy wife, and thy sons, and thy sons' wives with thee;"
GEN/8:16,GEN,1,8,16,"every living thing that  with thee, of all flesh, among fowl, and among cattle, and among every creeping thing which is creeping on the earth, bring out with thee;"
GEN/8:17,GEN,1,8,17,"and they have teemed in the earth, and been fruitful, and have multiplied on the earth.'"
GEN/8:18,GEN,1,8,18,"And Noah goeth out, and his sons, and his wife, and his sons' wives with him;"
GEN/8:19,GEN,1,8,19,"every beast, every creeping thing, and every fowl; every creeping thing on the earth, after their families, have gone out from the ark."
GEN/8:20,GEN,1,8,20,"And Noah buildeth an altar to Yahweh, and taketh of every clean beast, and of every clean fowl, and causeth burnt-offerings to ascend on the altar;"
GEN/8:21,GEN,1,8,21,"and Yahweh smelleth the sweet fragrance, and Yahweh saith unto His heart, `I continue not to disesteem any more the ground because of man, though the imagination of the heart of man  evil from his youth; and I continue not to smite any more all living, as I have done;"
GEN/8:22,GEN,1,8,22,"during all days of the earth, seed-time and harvest, and cold and heat, and summer and winter, and day and night, do not cease.'"
GEN/9:1,GEN,1,9,1,"And God blesseth Noah, and his sons, and saith to them, `Be fruitful, and multiply, and fill the earth;"
GEN/9:2,GEN,1,9,2,"and your fear and your dread is on every beast of the earth, and on every fowl of the heavens, on all that creepeth on the ground, and on all fishes of the sea -- into your hand they have been given."
GEN/9:3,GEN,1,9,3,"Every creeping thing that is alive, to you it is for food; as the green herb I have given to you the whole;"
GEN/9:4,GEN,1,9,4,only flesh in its life -- its blood -- ye do not eat.
GEN/9:5,GEN,1,9,5,"`And only your blood for your lives do I require; from the hand of every living thing I require it, and from the hand of man, from the hand of every man's brother I require the life of man;"
GEN/9:6,GEN,1,9,6,"whoso sheddeth man's blood, by man is his blood shed: for in the image of God hath He made man."
GEN/9:7,GEN,1,9,7,"And ye, be fruitful and multiply, teem in the earth, and multiply in it.'"
GEN/9:8,GEN,1,9,8,"And God speaketh unto Noah, and unto his sons with him, saying,"
GEN/9:9,GEN,1,9,9,"`And I, lo, I am establishing My covenant with you, and with your seed after you,"
GEN/9:10,GEN,1,9,10,"and with every living creature which  with you, among fowl, among cattle, and among every beast of the earth with you, from all who are going out of the ark -- to every beast of the earth."
GEN/9:11,GEN,1,9,11,"And I have established My covenant with you, and all flesh is not any more cut off by waters of a deluge, and there is not any more a deluge to destroy the earth.'"
